

 Begin Fly'm 
 Ions Flown Separately, Comp Quality(3) 
 Number of Ions to Fly = 0 


------ Begin Next Fly'm ------

Ion(295) TOF(1.80688 usec) Mass(5 amu) Charge(-1 e) 

Ion(296) TOF(0.714387 usec) Mass(1 amu) Charge(-1 e) 

Ion(297) TOF(1.10834 usec) Mass(2 amu) Charge(-1 e) 

Ion(298) TOF(1.35785 usec) Mass(3 amu) Charge(-1 e) 

Ion(299) TOF(1.52804 usec) Mass(4 amu) Charge(-1 e) 

Ion(300) TOF(1.82895 usec) Mass(5 amu) Charge(-1 e) 

Ion(301) TOF(0.767482 usec) Mass(1 amu) Charge(-1 e) 

Ion(302) TOF(1.09329 usec) Mass(2 amu) Charge(-1 e) 

Ion(303) TOF(1.43101 usec) Mass(3 amu) Charge(-1 e) 

Ion(304) TOF(1.61525 usec) Mass(4 amu) Charge(-1 e) 

Ion(305) TOF(1.62482 usec) Mass(5 amu) Charge(-1 e) 

Ion(306) TOF(0.720422 usec) Mass(1 amu) Charge(-1 e) 

Ion(307) TOF(0.961934 usec) Mass(2 amu) Charge(-1 e) 

Ion(308) TOF(1.30649 usec) Mass(3 amu) Charge(-1 e) 

Ion(309) TOF(1.38568 usec) Mass(4 amu) Charge(-1 e) 

Ion(310) TOF(1.89512 usec) Mass(5 amu) Charge(-1 e) 

Ion(311) TOF(0.734897 usec) Mass(1 amu) Charge(-1 e) 

Ion(312) TOF(0.975591 usec) Mass(2 amu) Charge(-1 e) 

Ion(313) TOF(1.49598 usec) Mass(3 amu) Charge(-1 e) 

Ion(314) TOF(1.7372 usec) Mass(4 amu) Charge(-1 e) 

Ion(315) TOF(1.47451 usec) Mass(5 amu) Charge(-1 e) 

Ion(316) TOF(0.894187 usec) Mass(1 amu) Charge(-1 e) 

Ion(317) TOF(1.07651 usec) Mass(2 amu) Charge(-1 e) 

Ion(318) TOF(1.25275 usec) Mass(3 amu) Charge(-1 e) 

Ion(319) TOF(1.35887 usec) Mass(4 amu) Charge(-1 e) 

Ion(320) TOF(1.79718 usec) Mass(5 amu) Charge(-1 e) 

Ion(321) TOF(0.742704 usec) Mass(1 amu) Charge(-1 e) 

Ion(322) TOF(0.982408 usec) Mass(2 amu) Charge(-1 e) 

Ion(323) TOF(1.36654 usec) Mass(3 amu) Charge(-1 e) 

Ion(324) TOF(1.39319 usec) Mass(4 amu) Charge(-1 e) 

Ion(325) TOF(1.70243 usec) Mass(5 amu) Charge(-1 e) 

Ion(326) TOF(0.760161 usec) Mass(1 amu) Charge(-1 e) 

Ion(327) TOF(1.02187 usec) Mass(2 amu) Charge(-1 e) 

Ion(328) TOF(1.27638 usec) Mass(3 amu) Charge(-1 e) 

Ion(329) TOF(1.45574 usec) Mass(4 amu) Charge(-1 e) 

Ion(330) TOF(1.63666 usec) Mass(5 amu) Charge(-1 e) 

Ion(331) TOF(0.889033 usec) Mass(1 amu) Charge(-1 e) 

Ion(332) TOF(0.950282 usec) Mass(2 amu) Charge(-1 e) 

Ion(333) TOF(1.28332 usec) Mass(3 amu) Charge(-1 e) 

Ion(334) TOF(1.61587 usec) Mass(4 amu) Charge(-1 e) 

Ion(335) TOF(1.66854 usec) Mass(5 amu) Charge(-1 e) 

Ion(336) TOF(0.759157 usec) Mass(1 amu) Charge(-1 e) 

Ion(337) TOF(1.32583 usec) Mass(2 amu) Charge(-1 e) 

Ion(338) TOF(1.19494 usec) Mass(3 amu) Charge(-1 e) 

Ion(339) TOF(1.63767 usec) Mass(4 amu) Charge(-1 e) 

Ion(340) TOF(1.76517 usec) Mass(5 amu) Charge(-1 e) 

Ion(341) TOF(0.753277 usec) Mass(1 amu) Charge(-1 e) 

Ion(342) TOF(1.11284 usec) Mass(2 amu) Charge(-1 e) 

Ion(343) TOF(1.31263 usec) Mass(3 amu) Charge(-1 e) 

Ion(344) TOF(1.40469 usec) Mass(4 amu) Charge(-1 e) 

Ion(345) TOF(1.67588 usec) Mass(5 amu) Charge(-1 e) 

Ion(346) TOF(0.905104 usec) Mass(1 amu) Charge(-1 e) 

Ion(347) TOF(1.12017 usec) Mass(2 amu) Charge(-1 e) 

Ion(348) TOF(1.31923 usec) Mass(3 amu) Charge(-1 e) 

